state	!	!=	$	&&	(	)	*	+	,	-	/	0	1	;	<	<=	=	==	>	>=	[	]	__int128	a	bool	break	char	do	double	else	false	float	if	int	long	main	return	string	true	void	while	x	{	||	}	basic	block	bool'	bool'''	decl	decl'	decls	decls'	equality	equality'	expr	expr'	expr''	factor	id	join	join'	loc	loc'	loc''	next	num	program'	real	rel	stmt	stmts	stmts'	string'	term	term'	type	unary	
1	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	s2	error	s4	error	s5	error	s6	error	error	s7	error	s8	s9	error	error	s10	error	s11	error	error	error	error	error	3	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
2	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	r2	error	error	error	error	error	error	error	error	error	error	error	r2	error	error	error	error	error	r2	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
3	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	s63	error	error	error	error	error	error	error	error	error	error	error	s72	error	error	error	error	error	s80	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	157	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
4	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	r4	error	error	error	error	error	error	error	error	error	error	error	r4	error	error	error	error	error	r4	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
5	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	r5	error	error	error	error	error	error	error	error	error	error	error	r5	error	error	error	error	error	r5	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
6	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	r6	error	error	error	error	error	error	error	error	error	error	error	r6	error	error	error	error	error	r6	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
7	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	r7	error	error	error	error	error	error	error	error	error	error	error	r7	error	error	error	error	error	r7	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
8	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	r8	error	error	error	error	error	error	error	error	error	error	error	r8	error	error	error	error	error	r8	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
9	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	s16	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
10	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	r10	error	error	error	error	error	error	error	error	error	error	error	r10	error	error	error	error	error	r10	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
