state	!=	$	&&	(	)	*	+	-	/	3	4	;	<	<=	=	==	>	>=	[	]	do	else	float	i	if	int	j	while	{	||	}	L	M	N	bool	decl	decls	expr	expr;	factor	id	num	rel	stmt	stmts	stmts'	term	type	
1	error	error	error	s2	error	error	error	error	error	s3	s4	error	error	error	error	error	error	error	error	error	error	error	error	s8	error	error	s10	error	error	error	error	5	error	error	error	error	error	6	error	7	9	11	error	error	error	error	12	error	
2	error	error	error	s2	error	error	error	error	error	s3	s4	error	error	error	error	error	error	error	error	error	error	error	error	s8	error	error	s10	error	error	error	error	5	error	error	error	error	error	44	error	7	9	11	error	error	error	error	12	error	
3	r3	error	r3	error	r3	r3	r3	r3	r3	error	error	r3	r3	r3	error	r3	r3	r3	error	r3	error	error	error	error	error	error	error	error	error	r3	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
4	r4	error	r4	error	r4	r4	r4	r4	r4	error	error	r4	r4	r4	error	r4	r4	r4	error	r4	error	error	error	error	error	error	error	error	error	r4	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
5	r5	error	r5	error	r5	r5	r5	r5	r5	error	error	r5	r5	r5	error	r5	r5	r5	error	r5	error	error	error	error	error	error	error	error	error	r5	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
6	error	error	error	error	error	error	s47	s49	error	error	error	error	error	error	error	error	error	error	error	s63	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
7	r7	error	r7	error	r7	r7	r7	r7	r7	error	error	r7	r7	r7	error	r7	r7	r7	error	r7	error	error	error	error	error	error	error	error	error	r7	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
8	r8	error	r8	error	r8	r8	r8	r8	r8	error	error	r8	r8	r8	r8	r8	r8	r8	r8	r8	error	error	error	error	error	error	error	error	error	r8	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
9	r62	error	r62	error	r62	r62	r62	r62	r62	error	error	r62	r62	r62	error	r62	r62	r62	s1	r62	error	error	error	error	error	error	error	error	error	r62	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
10	r10	error	r10	error	r10	r10	r10	r10	r10	error	error	r10	r10	r10	r10	r10	r10	r10	r10	r10	error	error	error	error	error	error	error	error	error	r10	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
